metric,title,scheme,status,kind,model,count,mean,variance,std,min,p05,p25,p50,p75,p95,max,display_percentile,display_min,display_max,file
3_status__anomaly__log_likelihood__RW,Логарифм правдоподобия,3_status,anomaly,log_likelihood,RW,139164,-10166.305717754602,279345457472.5086,528531.4157857682,-139577463.00191757,-552.455770558751,-19.329990235399784,-7.807691615695706,-7.796509299591681,-7.795769455288373,-7.6905583728588125,95.0,-2702.923560026987,-7.795669979785184,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\RW\3_status\anomaly\log_likelihood\RW.png
3_status__anomaly__mahalanobis__RW,Квадрат расстояния Махаланобиса,3_status,anomaly,mahalanobis,RW,139164,20316.76403000759,1117381649947.3633,1057062.7464570696,0.0,0.0001989519527917153,0.0016766025690085518,0.023599445186809613,21.923998616072005,1088.7655954944698,279154909.0284413,95.0,9.4184732956611e-10,5390.255780095341,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\RW\3_status\anomaly\mahalanobis\RW.png
3_status__anomaly__filter_distance__RW,"Расстояние между измерением и оценкой фильтра, м",3_status,anomaly,filter_distance,RW,139164,0.17488354059733038,2.231186044025969,1.4937155164307456,0.0,0.00031091584322507374,0.000874177403084536,0.0033776034094623038,0.07202369726933625,0.5102909262449339,260.5674482602867,95.0,6.764869950429675e-07,1.268794042852865,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\RW\3_status\anomaly\filter_distance\RW.png
3_status__anomaly__sqrt_mahalanobis__RW,Корень из квадрата расстояния Махаланобиса,3_status,anomaly,sqrt_mahalanobis,RW,139164,14.021371226008743,20120.165178950047,141.84556806241795,0.0,0.01410503288871441,0.04094633767516005,0.153621109183629,4.682306967618974,32.9964482239142,16707.929525481046,95.0,3.0689526339420186e-05,73.4183613280433,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\RW\3_status\anomaly\sqrt_mahalanobis\RW.png
3_status__anomaly__log1p_filter_distance__RW,log(1 + расстояние между измерением и фильтром),3_status,anomaly,log1p_filter_distance,RW,139164,0.10919683451812308,0.05471124262417862,0.23390434503056717,0.0,0.0003108675189105601,0.0008737955325506938,0.0033719121187478504,0.06954816806576183,0.41230229849478794,5.566692178584799,95.0,6.764867662256699e-07,0.8192484306231625,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\RW\3_status\anomaly\log1p_filter_distance\RW.png
3_status__move__log_likelihood__RW,Логарифм правдоподобия,3_status,move,log_likelihood,RW,113358,-133.21057872064085,1123156394.6794238,33513.525548342775,-11108140.803430557,-11.884505641514801,-10.935870242429509,-10.157796340090492,-8.70021233667078,-7.801343709086648,-7.69090307070752,95.0,-12.197333899477766,-7.796563929699148,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\RW\3_status\move\log_likelihood\RW.png
3_status__move__mahalanobis__RW,Квадрат расстояния Махаланобиса,3_status,move,mahalanobis,RW,113358,250.82152413315606,4492622467.599754,67027.02788875361,1.2729701024961328e-27,0.011325360709570076,1.8083933877294531,4.723435746120179,6.279328848308348,8.175159211438029,22216260.603607327,95.0,0.0017875807797002922,8.800635314459074,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\RW\3_status\move\mahalanobis\RW.png
3_status__move__filter_distance__RW,"Расстояние между измерением и оценкой фильтра, м",3_status,move,filter_distance,RW,113358,0.04142752801097421,0.007140821321630292,0.08450338053374132,8.881784197001252e-16,0.0023452374390330526,0.02962552444798172,0.04788797987274694,0.055200237168554704,0.062934936695699,26.85428966635891,95.0,0.0009318904859857586,0.06523758226265011,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\RW\3_status\move\filter_distance\RW.png
3_status__move__sqrt_mahalanobis__RW,Корень из квадрата расстояния Махаланобиса,3_status,move,sqrt_mahalanobis,RW,113358,1.9637275947130128,246.96529806691868,15.715129591158918,3.5678706569831433e-14,0.10642067796452039,1.3447651793775923,2.1733466695673958,2.5058589043042594,2.8592235328334126,4713.412840353296,95.0,0.04227979161149055,2.96658647512986,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\RW\3_status\move\sqrt_mahalanobis\RW.png
3_status__move__log1p_filter_distance__RW,log(1 + расстояние между измерением и фильтром),3_status,move,log1p_filter_distance,RW,113358,0.040139807848923355,0.0005515059679777996,0.023484164195853332,8.881784197001248e-16,0.002342491661871907,0.029195167637389212,0.04677669075134301,0.05373054718264868,0.06103389023887318,3.3269869820296485,95.0,0.0009314565456158089,0.06319785621906318,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\RW\3_status\move\log1p_filter_distance\RW.png
3_status__stand__log_likelihood__RW,Логарифм правдоподобия,3_status,stand,log_likelihood,RW,51672,-286.63672841929787,826700605.6917928,28752.401737799104,-4551771.083923507,-8.014028768573294,-7.808610285315844,-7.797838630349707,-7.796054491406488,-7.7957366107925266,-7.690830196567593,95.0,-8.550562270653808,-7.795669979779062,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\RW\3_status\stand\log_likelihood\RW.png
3_status__stand__mahalanobis__RW,Квадрат расстояния Махаланобиса,3_status,stand,mahalanobis,RW,51672,557.668702596445,3306795107.7500634,57504.73987203197,0.0,0.00013326555450265772,0.000768884247678647,0.0042968110501104256,0.025583985938808507,0.4198931783399542,9103519.203121826,95.0,9.251855885307992e-10,1.3952357883427149,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\RW\3_status\stand\mahalanobis\RW.png
