metric,title,scheme,status,kind,model,count,mean,variance,std,min,p05,p25,p50,p75,p95,max,display_percentile,display_min,display_max,file
3_status__anomaly__log_likelihood__CV,Логарифм правдоподобия,3_status,anomaly,log_likelihood,CV,21703,-62061118039.83303,7.545108222199216e+23,868625824057.7019,-38772467916721.305,-5.634876599832795,-5.603030730619019,-4.219636388172587,-4.216138621900221,-4.141114245931262,-3.8941052185162026,95.0,-1630.1694903916223,-4.1409033396239945,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\1\CV\3_status\anomaly\log_likelihood\CV.png
3_status__anomaly__mahalanobis__CV,Квадрат расстояния Махаланобиса,3_status,anomaly,mahalanobis,CV,21703,124122236069.83221,3.0180432888798524e+24,1737251648115.4514,0.0,0.0,0.0,0.0,0.0,0.0,77544935833434.17,95.0,0.0,3249.2651127149925,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\1\CV\3_status\anomaly\mahalanobis\CV.png
3_status__anomaly__filter_distance__CV,"Расстояние между измерением и оценкой фильтра, м",3_status,anomaly,filter_distance,CV,21703,13681.691917023609,20719276341.49354,143941.92002850852,0.0,0.0,0.0,0.0,0.0,0.0,3995037.6302981586,95.0,0.0,9.781941017779914,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\1\CV\3_status\anomaly\filter_distance\CV.png
3_status__anomaly__sqrt_mahalanobis__CV,Корень из квадрата расстояния Махаланобиса,3_status,anomaly,sqrt_mahalanobis,CV,21703,36708.27874619667,122774738341.32373,350392.2635294959,0.0,0.0,0.0,0.0,0.0,0.0,8805960.244824762,95.0,0.0,56.98848051661924,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\1\CV\3_status\anomaly\sqrt_mahalanobis\CV.png
3_status__anomaly__log1p_filter_distance__CV,log(1 + расстояние между измерением и фильтром),3_status,anomaly,log1p_filter_distance,CV,21703,0.2918467210959402,3.367212082477194,1.8349964802356418,0.0,0.0,0.0,0.0,0.0,0.0,15.200563806797378,95.0,0.0,2.377522221357081,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\1\CV\3_status\anomaly\log1p_filter_distance\CV.png
3_status__move__log_likelihood__CV,Логарифм правдоподобия,3_status,move,log_likelihood,CV,369737,-2348283363.49445,3.0016826395431075e+22,173253647567.46414,-39745900830162.484,-6.250936052566379,-5.754806456432333,-5.513804384037844,-4.532866477921965,-4.244281090283984,-3.4740153315996847,95.0,-6.6858086457081045,-4.2238282651224255,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\1\CV\3_status\move\log_likelihood\CV.png
3_status__move__mahalanobis__CV,Квадрат расстояния Махаланобиса,3_status,move,mahalanobis,CV,369737,4696566717.39603,1.2006730558172786e+23,346507295134.9334,0.0,0.01955485676411876,0.1654193679426388,0.4952951815553502,1.0575317365366173,3.4176902222586425,79491801660316.53,95.0,0.008029134516568,4.556033672427397,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\1\CV\3_status\move\mahalanobis\CV.png
3_status__move__filter_distance__CV,"Расстояние между измерением и оценкой фильтра, м",3_status,move,filter_distance,CV,369737,478.4029667849401,773044050.6773776,27803.669734000538,0.0,0.03774434238745623,0.11377623062747251,0.22157015275325093,0.43607366038021705,0.8570048023609763,4051841.6933449283,95.0,0.02443526740937431,0.9885395313735125,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\1\CV\3_status\move\filter_distance\CV.png
3_status__move__sqrt_mahalanobis__CV,Корень из квадрата расстояния Махаланобиса,3_status,move,sqrt_mahalanobis,CV,369737,1294.590989918064,4694890751.564852,68519.27284760728,0.0,0.13983868116537604,0.4067177989007105,0.7037721091058882,1.0283636207765312,1.848699603033968,8915817.498149933,95.0,0.0896054379739128,2.1344867462299093,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\1\CV\3_status\move\sqrt_mahalanobis\CV.png
3_status__move__log1p_filter_distance__CV,log(1 + расстояние между измерением и фильтром),3_status,move,log1p_filter_distance,CV,369737,0.2653376604000237,0.17037595571131245,0.41276622404372243,0.0,0.03704945612887112,0.10775625115515168,0.20013704171061025,0.3619127648398608,0.6189648684465116,15.214682321619065,95.0,0.02414150213143083,0.6874004654625891,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\1\CV\3_status\move\log1p_filter_distance\CV.png
