train_file,validation_file,segment_type,method,n_segments,n_points,sigma_meas_x,sigma_meas_y,sigma_meas,sigma_acc,sigma_rw,negative_log_likelihood,optimizer_success,optimizer_message,validation_n_segments,validation_n_points,validation_mean_mahalanobis,validation_p95_mahalanobis,validation_chi2_mean_expected,validation_chi2_p95_expected,validation_mean_ratio,validation_p95_ratio,validation_quality,validation_message
1.csv,3.csv,stand,stand_position_std,79,382003,250.48724086848685,142.57193579135912,203.80212794914922,,,,,,,,,,,,,,,
1.csv,3.csv,stand,stand_neighbor_diff,79,381924,3.210172446590393,15.522385086833218,11.208247987995055,,,,,,,,,,,,,,,
1.csv,3.csv,stand,MLE_CV,79,382003,,,0.5065364315590375,0.0074420057131226605,,109284.55367805004,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,89509.0,2744.648893080046,90.25110414137863,2.0,5.991464547107979,1372.324446540023,15.063279342100413,POOR,"CV: mean(M²)=2744.65, P95(M²)=90.2511"
1.csv,3.csv,stand,MLE_RW,79,382003,,,0.0010000000000000002,,0.3997696591086693,112731.87798337627,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,89509.0,1540.0573256384473,55.82429937924488,2.0,5.991464547107979,770.0286628192237,9.317304465431697,POOR,"RW: mean(M²)=1540.06, P95(M²)=55.8243"
1.csv,3.csv,move,MLE_CV,66,368149,,,1.8639324173505247,0.011127882863188077,,173214.57136595633,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,220841.0,27412.3863600075,7.86279148255665,2.0,5.991464547107979,13706.19318000375,1.3123321386174174,POOR,"CV: mean(M²)=27412.4, P95(M²)=7.86279"
1.csv,3.csv,move,MLE_RW,66,368149,,,0.0010000000000000002,,6.204492430709367,291948.13496550766,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,220841.0,1709.5208592533552,5.852982098663872,2.0,5.991464547107979,854.7604296266776,0.976886711528494,POOR,"RW: mean(M²)=1709.52, P95(M²)=5.85298"
1.csv,3.csv,stand_move,MLE_CV,48,751564,,,2.753192701816206,0.0025823963674858706,,365719.13643184403,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.0,310477.0,25198.095807055903,10.86790427346565,2.0,5.991464547107979,12599.047903527951,1.813897785427351,POOR,"CV: mean(M²)=25198.1, P95(M²)=10.8679"
1.csv,3.csv,stand_move,MLE_RW,48,751564,,,0.007628577422682055,,4.372848818364899,548657.9746910556,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.0,310477.0,2452.116617178979,11.293277221320398,2.0,5.991464547107979,1226.0583085894896,1.884894274601283,POOR,"RW: mean(M²)=2452.12, P95(M²)=11.2933"
2.csv,3.csv,stand,stand_position_std,70,50908,1751.964119312274,1724.8360894421207,1738.4530207629452,,,,,,,,,,,,,,,
2.csv,3.csv,stand,stand_neighbor_diff,70,50838,1096.1838415440234,512.6087655585709,855.68299065416,,,,,,,,,,,,,,,
2.csv,3.csv,stand,MLE_CV,70,50908,,,0.013252470803108781,2.9709605076809322,,59868.33514871378,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,89509.0,5.78177821605997,3.1150261617766293,2.0,5.991464547107979,2.890889108029985,0.5199106390907748,POOR,"CV: mean(M²)=5.78178, P95(M²)=3.11503"
2.csv,3.csv,stand,MLE_RW,70,50908,,,0.0010000000000000002,,54.54323813382879,60379.17713982405,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,89509.0,0.08273235525243312,0.0029988804040348266,2.0,5.991464547107979,0.04136617762621656,0.0005005254358856812,POOR,"RW: mean(M²)=0.0827324, P95(M²)=0.00299888"
2.csv,3.csv,move,MLE_CV,75,112371,,,1.9315784664832063,0.0356975917941338,,61251.045147394616,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,220841.0,12606.386312672343,3.7470138333087073,2.0,5.991464547107979,6303.193156336171,0.6253919728386533,POOR,"CV: mean(M²)=12606.4, P95(M²)=3.74701"
2.csv,3.csv,move,MLE_RW,75,112371,,,0.012442467499375099,,9.298536876749267,97754.49467517095,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,220841.0,761.1279555270903,2.60591640090388,2.0,5.991464547107979,380.56397776354515,0.4349381324740927,POOR,"RW: mean(M²)=761.128, P95(M²)=2.60592"
2.csv,3.csv,stand_move,MLE_CV,76,164323,,,82.67436281363376,0.02577693927224916,,178917.54500352152,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.0,310477.0,124.29735103066943,0.02418608938187659,2.0,5.991464547107979,62.148675515334716,0.004036757489210376,POOR,"CV: mean(M²)=124.297, P95(M²)=0.0241861"
2.csv,3.csv,stand_move,MLE_RW,76,164323,,,0.018277850116159622,,10.302790166070636,146163.11296394182,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.0,310477.0,441.73349935685565,2.034413389420425,2.0,5.991464547107979,220.86674967842782,0.3395519364964642,POOR,"RW: mean(M²)=441.733, P95(M²)=2.03441"
3.csv,3.csv,stand,stand_position_std,14,89509,104.73399489564385,166.83096128602614,139.28707644720723,,,,,,,,,,,,,,,
3.csv,3.csv,stand,stand_neighbor_diff,14,89495,29.73492661989637,46.33238887153291,38.92849932654461,,,,,,,,,,,,,,,
3.csv,3.csv,stand,MLE_CV,14,89509,,,4.68934613698818,1.0688993363486692,,84330.07041028271,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,89509.0,3.5771976809313837,0.2580555691754942,2.0,5.991464547107979,1.7885988404656918,0.04307053261294104,POOR,"CV: mean(M²)=3.5772, P95(M²)=0.258056"
3.csv,3.csv,stand,MLE_RW,14,89509,,,0.052410423844702014,,32.314899150722184,95593.35137544855,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,89509.0,0.23569552076451916,0.008543507311353258,2.0,5.991464547107979,0.11784776038225958,0.0014259464016151318,POOR,"RW: mean(M²)=0.235696, P95(M²)=0.00854351"
3.csv,3.csv,move,MLE_CV,11,220841,,,15.106947399374368,0.011777737005994634,,175117.27606184664,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,220841.0,1949.2714672245968,0.5073005093519929,2.0,5.991464547107979,974.6357336122984,0.08467053511930765,POOR,"CV: mean(M²)=1949.27, P95(M²)=0.507301"
3.csv,3.csv,move,MLE_RW,11,220841,,,0.0010000001600099179,,13.84830537306905,202110.50484747507,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,220841.0,343.15762957241304,1.1748879525273836,2.0,5.991464547107979,171.57881478620652,0.1960936167258956,POOR,"RW: mean(M²)=343.158, P95(M²)=1.17489"
3.csv,3.csv,stand_move,MLE_CV,7,310477,,,18.35229225404856,0.5849851943464425,,301843.8974240225,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.0,310477.0,76.68215200904032,0.03671595420128431,2.0,5.991464547107979,38.34107600452016,0.006128043304371506,POOR,"CV: mean(M²)=76.6822, P95(M²)=0.036716"
3.csv,3.csv,stand_move,MLE_RW,7,310477,,,0.0010000000000000002,,22.28920899209649,310790.68440626666,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.0,310477.0,94.38017042545344,0.4346699275559654,2.0,5.991464547107979,47.19008521272672,0.07254819320691404,POOR,"RW: mean(M²)=94.3802, P95(M²)=0.43467"
