train_file,validation_file,segment_type,method,n_segments,n_points,sigma_meas_x,sigma_meas_y,sigma_meas,sigma_acc,sigma_rw,negative_log_likelihood,n_mle_windows,optimizer_success,optimizer_message,stationary_fragments_total,stationary_fragments_accepted,validation_n_segments,validation_n_points,validation_n,validation_mean_mahalanobis,validation_median_mahalanobis,validation_p95_mahalanobis,validation_p99_mahalanobis,validation_frac_m2_gt_5_991,validation_frac_m2_gt_9_21,validation_frac_m2_gt_13_82,validation_expected_frac_gt_5_991,validation_expected_frac_gt_9_21,validation_expected_frac_gt_13_82,validation_mean_ratio,validation_median_ratio,validation_p95_ratio,validation_p99_ratio,validation_quality,validation_message
1.csv,3.csv,stand,stationary_stand_diff,79,382003,0.6061403853087632,0.7066871087729419,0.6583360982082465,,,,,True,sigma_meas estimated from stationary stand fragments,12723,7125,,,,,,,,,,,,,,,,,,,
1.csv,3.csv,stand,MLE_CV,79,382003,0.6061403853087632,0.7066871087729419,0.6583360982082465,0.006263760183780405,,110899.30499770348,34689.0,True,Solution found.,12723,7125,14.0,89509.0,89369.0,2164.409078024649,0.0,65.13496704184388,276.3417051746274,0.189707840526357,0.1637256766887847,0.13852678221754747,0.05,0.01,0.001,1082.2045390123244,0.0,10.8712930752939,30.003419419269,POOR,"CV: N=89369, mean=2164.41, median=0, P95=65.135, P99=276.342, >5.991=0.189708, >9.21=0.163726, >13.82=0.138527"
1.csv,3.csv,stand,MLE_RW,79,382003,0.6061403853087632,0.7066871087729419,0.6583360982082465,,0.40995378960702206,121480.6737013198,34689.0,True,Solution found.,12723,7125,14.0,89509.0,89369.0,1060.8922648002379,0.0,29.24889791703426,136.4572957192033,0.1260280410433148,0.10508118027503945,0.08404480300775437,0.05,0.01,0.001,530.4461324001189,0.0,4.881760993003358,14.81566263657256,POOR,"RW: N=89369, mean=1060.89, median=0, P95=29.2489, P99=136.457, >5.991=0.126028, >9.21=0.105081, >13.82=0.0840448"
1.csv,3.csv,move,MLE_CV,66,368149,0.6061403853087632,0.7066871087729419,0.6583360982082465,0.07072907965654819,,215141.2216594643,33435.0,True,Solution found.,12723,7125,11.0,220841.0,220731.0,17851.836952734422,0.2343127653599153,14.17533279105577,1574.4070362928837,0.10486972831183658,0.07272200098762747,0.05109839578491467,0.05,0.01,0.001,8925.918476367211,0.16902093230086448,2.3659211666199482,170.9390720329131,POOR,"CV: N=220731, mean=17851.8, median=0.234313, P95=14.1753, P99=1574.41, >5.991=0.10487, >9.21=0.072722, >13.82=0.0510984"
1.csv,3.csv,move,MLE_RW,66,368149,0.6061403853087632,0.7066871087729419,0.6583360982082465,,6.211995217710585,292030.7691982782,33435.0,True,Solution found.,12723,7125,11.0,220841.0,220731.0,1705.060886776938,2.911302098672854,5.838922574445238,7.942318371162412,0.040959357770317714,0.009396052208344092,0.008725552822213463,0.05,0.01,0.001,852.530443388469,2.1000605501424783,0.9745401192874669,0.8623262605286649,CHECK,"RW: N=220731, mean=1705.06, median=2.9113, P95=5.83892, P99=7.94232, >5.991=0.0409594, >9.21=0.00939605, >13.82=0.00872555"
1.csv,3.csv,stand_move,MLE_CV,48,751564,0.6061403853087632,0.7066871087729419,0.6583360982082465,0.35922183859573037,,590181.3712561657,68300.0,True,Solution found.,12723,7125,7.0,310477.0,310407.0,1724.9344967243576,0.0661049586065965,7.4460616794358465,554.6801438637997,0.05791428672678129,0.0428727444935198,0.032212546753133786,0.05,0.01,0.001,862.4672483621788,0.04768464797995347,1.2427782257394793,60.22363142533754,POOR,"CV: N=310407, mean=1724.93, median=0.066105, P95=7.44606, P99=554.68, >5.991=0.0579143, >9.21=0.0428727, >13.82=0.0322125"
1.csv,3.csv,stand_move,MLE_RW,48,751564,0.6061403853087632,0.7066871087729419,0.6583360982082465,,4.383118127112665,548993.2016829462,68300.0,True,Solution found.,12723,7125,7.0,310477.0,310407.0,2439.6699444464116,1.9120357537218702,11.24246647015519,14.057784239263409,0.3513709420212817,0.1496680165073597,0.010821276582035843,0.05,0.01,0.001,1219.8349722232058,1.3792422499484664,1.8764137518900645,1.5263045307246508,CHECK,"RW: N=310407, mean=2439.67, median=1.91204, P95=11.2425, P99=14.0578, >5.991=0.351371, >9.21=0.149668, >13.82=0.0108213"
2.csv,3.csv,stand,stationary_stand_diff,70,50908,1.1339113062158095,1.2950262889917021,1.2171376133255563,,,,,True,sigma_meas estimated from stationary stand fragments,1683,1106,,,,,,,,,,,,,,,,,,,
2.csv,3.csv,stand,MLE_CV,70,50908,1.1339113062158095,1.2950262889917021,1.2171376133255563,0.09940201176296583,,119697.68052920052,4594.0,True,Solution found.,1683,1106,14.0,89509.0,89369.0,121.0095204928248,0.0,6.83662040136094,32.42132074679545,0.05573521019592924,0.03860399019794336,0.025859078651433942,0.05,0.01,0.001,60.5047602464124,0.0,1.1410599775076544,3.520100174087171,POOR,"CV: N=89369, mean=121.01, median=0, P95=6.83662, P99=32.4213, >5.991=0.0557352, >9.21=0.038604, >13.82=0.0258591"
2.csv,3.csv,stand,MLE_RW,70,50908,1.1339113062158095,1.2950262889917021,1.2171376133255563,,9.999485692164335,176846.94697454467,4594.0,True,Solution found.,1683,1106,14.0,89509.0,89369.0,2.4525337104773506,0.0,0.08840372119194141,0.5622786110633291,0.0006042363683156352,0.0003133077465340331,0.00021260168514809386,0.05,0.01,0.001,1.2262668552386753,0.0,0.014754943552926975,0.061048624519257154,POOR,"RW: N=89369, mean=2.45253, median=0, P95=0.0884037, P99=0.562279, >5.991=0.000604236, >9.21=0.000313308, >13.82=0.000212602"
2.csv,3.csv,move,MLE_CV,75,112371,1.1339113062158095,1.2950262889917021,1.2171376133255563,0.04713673249098855,,62605.588798461715,10180.0,True,Solution found.,1683,1106,11.0,220841.0,220731.0,15562.312678461505,0.10145816499524753,6.5049490195661495,588.3727423667557,0.05348138684643299,0.038232056213218804,0.02884959520864763,0.05,0.01,0.001,7781.156339230753,0.0731865957481689,1.0857026639181273,63.88175882804143,POOR,"CV: N=220731, mean=15562.3, median=0.101458, P95=6.50495, P99=588.373, >5.991=0.0534814, >9.21=0.0382321, >13.82=0.0288496"
2.csv,3.csv,move,MLE_RW,75,112371,1.1339113062158095,1.2950262889917021,1.2171376133255563,,9.313591027619326,97788.44994064479,10180.0,True,Solution found.,1683,1106,11.0,220841.0,220731.0,758.445642908094,1.2950814296407684,2.597707805310606,3.5319563863494494,0.0087527352297593,0.008344999116571754,0.008077705442371031,0.05,0.01,0.001,379.222821454047,0.9342037780450625,0.43356808421147947,0.38347729222862903,POOR,"RW: N=220731, mean=758.446, median=1.29508, P95=2.59771, P99=3.53196, >5.991=0.00875274, >9.21=0.008345, >13.82=0.00807771"
2.csv,3.csv,stand_move,MLE_CV,76,164323,1.1339113062158095,1.2950262889917021,1.2171376133255563,0.07019400656042955,,108377.22808161232,14901.0,True,Solution found.,1683,1106,7.0,310477.0,310407.0,7422.725825801457,0.0353140579196649,6.11976818256806,89.22922615243775,0.05087514134668355,0.036529459709349336,0.026958154938516207,0.05,0.01,0.001,3711.3629129007286,0.02547370811718308,1.0214144028477998,9.687940135625263,POOR,"CV: N=310407, mean=7422.73, median=0.0353141, P95=6.11977, P99=89.2292, >5.991=0.0508751, >9.21=0.0365295, >13.82=0.0269582"
2.csv,3.csv,stand_move,MLE_RW,76,164323,1.1339113062158095,1.2950262889917021,1.2171376133255563,,9.999394331439698,146232.0669158013,14901.0,True,Solution found.,1683,1106,7.0,310477.0,310407.0,468.8224004929537,0.3677426698488965,2.159863450478798,2.7000836742122956,0.006356171091502447,0.005992132909373822,0.005792395145728028,0.05,0.01,0.001,234.41120024647685,0.2652702630571351,0.36049006607597184,0.29315786009686445,POOR,"RW: N=310407, mean=468.822, median=0.367743, P95=2.15986, P99=2.70008, >5.991=0.00635617, >9.21=0.00599213, >13.82=0.0057924"
