"time","lat","lon","heading","number_satellites"
2025-07-25 00:00:05.000,,,,
2025-07-25 00:00:15.000,,,,
2025-07-25 00:00:25.000,,,,
2025-07-25 00:00:35.000,,,,
2025-07-25 00:00:45.000,,,,
2025-07-25 00:00:55.000,48.364582,43.354752,156.300003,3
2025-07-25 00:01:05.000,48.231983,43.527618,16.299999,3
2025-07-25 00:01:15.000,,,,
2025-07-25 00:01:25.000,48.274342,43.431698,122.500000,3
2025-07-25 00:01:35.000,48.313332,43.366585,130.899994,3
2025-07-25 00:01:45.000,,,,
2025-07-25 00:01:55.000,,,,
2025-07-25 00:02:05.000,48.338955,43.315830,189.800003,3
2025-07-25 00:02:15.000,,,,
2025-07-25 00:02:25.000,,,,
2025-07-25 00:02:35.000,,,,
2025-07-25 00:02:45.000,,,,
2025-07-25 00:02:55.000,,,,
2025-07-25 00:03:05.000,,,,
2025-07-25 00:03:15.000,,,,
2025-07-25 00:03:25.000,48.206242,43.551579,160.899994,3
2025-07-25 00:03:35.000,48.288574,43.366001,164.000000,3
2025-07-25 00:03:45.000,,,,
2025-07-25 00:03:55.000,48.160374,43.575832,159.199997,3
2025-07-25 00:04:05.000,,,,
2025-07-25 00:04:15.000,,,,
2025-07-25 00:04:25.000,,,,
2025-07-25 00:04:35.000,,,,
2025-07-25 00:04:45.000,,,,
2025-07-25 00:04:55.000,,,,
2025-07-25 00:05:05.000,,,,
2025-07-25 00:05:15.000,,,,
2025-07-25 00:05:25.000,,,,
2025-07-25 00:05:35.000,,,,
2025-07-25 00:05:45.000,,,,
2025-07-25 00:05:55.000,,,,
2025-07-25 00:06:05.000,,,,
2025-07-25 00:06:15.000,,,,
2025-07-25 00:06:25.000,,,,
2025-07-25 00:06:35.000,,,,
2025-07-25 00:06:45.000,,,,
2025-07-25 00:06:55.000,,,,
2025-07-25 00:07:05.000,,,,
2025-07-25 00:07:15.000,,,,
2025-07-25 00:07:25.000,,,,
2025-07-25 00:07:35.000,,,,
2025-07-25 00:07:45.000,,,,
2025-07-25 00:07:55.000,,,,
2025-07-25 00:08:05.000,,,,
2025-07-25 00:08:15.000,,,,
2025-07-25 00:08:25.000,,,,
2025-07-25 00:08:35.000,,,,
2025-07-25 00:08:45.000,,,,
2025-07-25 00:08:55.000,,,,
2025-07-25 00:09:05.000,,,,
2025-07-25 00:09:15.000,,,,
2025-07-25 00:09:25.000,,,,
2025-07-25 00:09:35.000,,,,
2025-07-25 00:09:45.000,,,,
2025-07-25 00:09:55.000,,,,
2025-07-25 00:10:05.000,,,,
2025-07-25 00:10:15.000,48.363659,43.364925,154.300003,4
2025-07-25 00:10:25.000,48.363434,43.365067,163.100006,3
2025-07-25 00:10:35.000,,,,
2025-07-25 00:10:45.000,,,,
2025-07-25 00:10:55.000,48.363197,43.365154,92.500000,4
2025-07-25 00:11:05.000,,,,
2025-07-25 00:11:15.000,,,,
2025-07-25 00:11:25.000,,,,
2025-07-25 00:11:35.000,48.372654,43.352879,73.500000,4
2025-07-25 00:11:45.000,,,,
2025-07-25 00:11:55.000,,,,
2025-07-25 00:12:05.000,48.368805,43.356762,71.900002,3
2025-07-25 00:12:15.000,,,,
2025-07-25 00:12:25.000,,,,
2025-07-25 00:12:35.000,,,,
