time,lat,lon
0 days 00:00:00,58.155437,39.02552
0 days 00:00:04,58.154461,39.024723
0 days 00:00:08,58.153599,39.02372
0 days 00:00:12,58.152744,39.02256
0 days 00:00:16,58.151955,39.021229
0 days 00:00:20,58.15123,39.019722
0 days 00:00:24,58.150642,39.018154
0 days 00:00:28,58.150105,39.016434
0 days 00:00:31,58.149715,39.014599
0 days 00:00:35,58.149502,39.012772
0 days 00:00:39,58.149429,39.010906
0 days 00:00:43,58.149448,39.009014
0 days 00:00:47,58.149448,39.007053
0 days 00:00:51,58.149723,39.005241
0 days 00:00:55,58.150082,39.003452
0 days 00:00:59,58.150463,39.001705
0 days 00:01:03,58.150978,39.000107
0 days 00:01:07,58.151619,38.998592
0 days 00:01:11,58.152302,38.997246
0 days 00:01:15,58.153061,38.996017
0 days 00:01:19,58.153873,38.994995
0 days 00:01:23,58.154736,38.994099
0 days 00:01:26,58.15572,38.993458
0 days 00:01:31,58.156681,38.993031
0 days 00:01:35,58.157665,38.992748
0 days 00:01:39,58.158699,38.992714
0 days 00:01:43,58.159767,38.992886
0 days 00:01:48,58.160789,38.993271
0 days 00:01:51,58.161709,38.993839
0 days 00:01:56,58.162663,38.994629
0 days 00:01:59,58.163494,38.995594
0 days 00:02:03,58.164322,38.99675
0 days 00:02:07,58.165005,38.998062
0 days 00:02:11,58.165642,38.999531
0 days 00:02:15,58.166187,39.001099
0 days 00:02:19,58.166603,39.002789
0 days 00:02:23,58.166977,39.004574
0 days 00:02:27,58.167179,39.00642
0 days 00:02:31,58.167286,39.008224
0 days 00:02:35,58.167358,39.010132
0 days 00:02:40,58.16708,39.011803
0 days 00:02:44,58.166763,39.013771
0 days 00:02:48,58.166389,39.015503
0 days 00:02:52,58.165943,39.017189
0 days 00:02:56,58.165356,39.018787
0 days 00:03:00,58.164707,39.02026
0 days 00:03:04,58.163998,39.02161
0 days 00:03:08,58.163109,39.022739
0 days 00:03:12,58.162247,39.023762
0 days 00:03:16,58.161354,39.024609
0 days 00:03:20,58.160301,39.025181
0 days 00:03:24,58.159222,39.025558
0 days 00:03:28,58.158123,39.025692
0 days 00:03:32,58.156975,39.025589
0 days 00:03:36,58.155949,39.025379
0 days 00:03:40,58.154957,39.024971
0 days 00:03:44,58.153889,39.024284
0 days 00:03:48,58.152977,39.023483
0 days 00:03:52,58.152092,39.022476
0 days 00:03:56,58.151253,39.021282
0 days 00:04:00,58.150497,39.019936
0 days 00:04:04,58.14983,39.018444
0 days 00:04:08,58.149227,39.016819
0 days 00:04:12,58.148689,39.015026
0 days 00:04:16,58.148331,39.013233
0 days 00:04:20,58.148178,39.011467
0 days 00:04:24,58.148006,39.009541
0 days 00:04:28,58.148014,39.007675
0 days 00:04:32,58.148022,39.005699
0 days 00:04:36,58.148323,39.003914
0 days 00:04:40,58.148659,39.002121
0 days 00:04:44,58.148968,39.000305
0 days 00:04:48,58.149593,38.99876
0 days 00:04:52,58.150234,38.997288
0 days 00:04:56,58.150837,38.995827
0 days 00:05:00,58.151718,38.99469
0 days 00:05:04,58.152458,38.993576
0 days 00:05:08,58.153355,38.99271
0 days 00:05:12,58.154411,38.992176
0 days 00:05:16,58.155361,38.991676
0 days 00:05:20,58.156265,38.991348
0 days 00:05:24,58.157291,38.991306
0 days 00:05:28,58.158382,38.991573
0 days 00:05:32,58.159367,38.991936
0 days 00:05:36,58.160313,38.992527
0 days 00:05:40,58.161232,38.993301
0 days 00:05:44,58.16206,38.99427
0 days 00:05:48,58.162849,38.995411
0 days 00:05:52,58.163567,38.996716
0 days 00:05:56,58.164169,38.998154
0 days 00:06:00,58.16468,38.99971
0 days 00:06:04,58.165104,39.001381
0 days 00:06:08,58.16544,39.003136
0 days 00:06:12,58.165627,39.004959
0 days 00:06:16,58.165756,39.006824
0 days 00:06:27,58.16827,39.012932
0 days 00:06:30,58.168011,39.014744
0 days 00:06:34,58.16766,39.016453
0 days 00:06:38,58.167171,39.018089
0 days 00:06:42,58.166634,39.019665
0 days 00:06:46,58.165966,39.021107
0 days 00:06:50,58.165218,39.022396
0 days 00:06:54,58.164406,39.023521
0 days 00:06:58,58.163502,39.02446
0 days 00:07:02,58.162563,39.025208
0 days 00:07:06,58.161507,39.025829
0 days 00:07:11,58.160473,39.026333
0 days 00:07:15,58.159458,39.02644
0 days 00:07:19,58.158455,39.02634
0 days 00:07:23,58.157455,39.026043
0 days 00:07:27,58.156487,39.025528
0 days 00:07:31,58.155552,39.024822
0 days 00:07:35,58.154671,39.023911
0 days 00:07:39,58.153851,39.02282
0 days 00:07:43,58.153091,39.021568
0 days 00:07:47,58.152416,39.020168
0 days 00:07:51,58.151855,39.018631
0 days 00:07:55,58.151367,39.016975
0 days 00:07:59,58.150944,39.015221
0 days 00:08:03,58.15065,39.013416
0 days 00:08:07,58.150471,39.011536
0 days 00:08:11,58.150383,39.009605
0 days 00:08:15,58.150341,39.007763
0 days 00:08:19,58.150578,39.005859
0 days 00:08:23,58.150757,39.004063
0 days 00:08:27,58.151245,39.002319
0 days 00:08:31,58.151699,39.000618
0 days 00:08:35,58.152271,38.999039
0 days 00:08:39,58.15292,38.997601
0 days 00:08:43,58.153587,38.99633
0 days 00:08:47,58.154453,38.99519
0 days 00:08:51,58.155216,38.994286
0 days 00:08:55,58.156216,38.993515
0 days 00:08:59,58.157261,38.99297
0 days 00:09:03,58.158226,38.992592
0 days 00:09:07,58.159195,38.992413
0 days 00:09:11,58.160191,38.992466
0 days 00:09:15,58.161148,38.99271
0 days 00:09:19,58.162029,38.993225
0 days 00:09:23,58.162956,38.993797
0 days 00:09:27,58.163834,38.994789
0 days 00:09:31,58.164761,38.995903
0 days 00:09:35,58.16547,38.997173
0 days 00:09:39,58.166245,38.998516
0 days 00:09:43,58.166763,39.000084
0 days 00:09:47,58.167358,39.001698
0 days 00:09:51,58.167789,39.003433
0 days 00:09:55,58.168114,39.005169
0 days 00:09:59,58.168343,39.006958
0 days 00:10:04,58.168465,39.00927
0 days 00:10:08,58.168369,39.011425
0 days 00:10:12,58.168198,39.013317
0 days 00:10:16,58.167912,39.015095
0 days 00:10:20,58.167515,39.01683
0 days 00:10:24,58.167007,39.018459
0 days 00:10:28,58.166439,39.020023
0 days 00:10:32,58.165749,39.021423
0 days 00:10:36,58.164989,39.022655
0 days 00:10:40,58.164177,39.023777
0 days 00:10:44,58.163307,39.024704
0 days 00:10:48,58.162376,39.025433
0 days 00:10:52,58.161427,39.025974
0 days 00:10:56,58.160416,39.026279
0 days 00:11:00,58.159416,39.02639
0 days 00:11:04,58.158447,39.026314
0 days 00:11:08,58.157421,39.026005
0 days 00:11:12,58.15646,39.02549
